PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Ticket_Count,Fare_PerPassenger,NameTitle,NumFamily,CompleteInfo,CabinLetter,CabinNumber,CabinLetter_Cohort,CabinLetter_Cohort_DT,CabinLetter_Cohort_ECLF,CabinNumber_Group
1,0,3,"Braund, Mr. Owen Harris",0,22.0,1,0,A/5 21171,7.25,,S,1,7.25,Mr,1,0,,,,4,4,
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,38.0,1,0,PC 17599,71.2833,C85,C,1,71.2833,Mrs,1,1,C,85,2,2,2,0.833
3,1,3,"Heikkinen, Miss. Laina",1,26.0,0,0,STON/O2. 3101282,7.925,,S,1,7.925,Miss,0,0,,,,4,4,
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35.0,1,0,113803,53.1,C123,S,2,26.55,Mrs,1,1,C,123,2,2,2,1.0
5,0,3,"Allen, Mr. William Henry",0,35.0,0,0,373450,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
6,0,3,"Moran, Mr. James",0,24.07,0,0,330877,8.4583,,Q,1,8.4583,Mr,0,0,,,,4,4,
7,0,1,"McCarthy, Mr. Timothy J",0,54.0,0,0,17463,51.8625,E46,S,1,51.8625,Mr,0,1,E,46,4,4,4,0.667
8,0,3,"Palsson, Master. Gosta Leonard",0,2.0,3,1,349909,21.075,,S,4,5.26875,Master,4,0,,,,4,4,
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27.0,0,2,347742,11.1333,,S,3,3.7111,Mrs,2,0,,,,4,4,
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,14.0,1,0,237736,30.0708,,C,2,15.0354,Mrs,1,0,,,,3,3,
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,4.0,1,1,PP 9549,16.7,G6,S,2,8.35,Miss,2,1,G,6,,4,4,0.167
12,1,1,"Bonnell, Miss. Elizabeth",1,58.0,0,0,113783,26.55,C103,S,1,26.55,Miss,0,1,C,103,2,2,2,1.0
13,0,3,"Saundercock, Mr. William Henry",0,20.0,0,0,A/5. 2151,8.05,,S,1,8.05,Mr,0,0,,,,4,4,
14,0,3,"Andersson, Mr. Anders Johan",0,39.0,1,5,347082,31.275,,S,7,4.4678571428571425,Mr,6,0,,,,4,4,
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,14.0,0,0,350406,7.8542,,S,1,7.8542,Miss,0,0,,,,4,4,
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,55.0,0,0,248706,16.0,,S,1,16.0,Mrs,0,0,,,,3,3,
17,0,3,"Rice, Master. Eugene",0,2.0,4,1,382652,29.125,,Q,5,5.825,Master,5,0,,,,4,4,
18,1,2,"Williams, Mr. Charles Eugene",0,31.770852585193243,0,0,244373,13.0,,S,1,13.0,Mr,0,0,,,,3,3,
